id,norm_l1,norm_l2
1,49447.617,959.08374
3,42820.97,806.10944
4,48701.9,890.62006
5,46068.45,876.0603
10,51909.2,1001.26666
31,44991.71,840.6593
35,48744.363,908.5784
66,47482.71,921.6364
87,50100.15,922.98865
91,43505.887,819.93524
102,50460.562,950.09735
103,46635.094,857.59534
123,43967.523,801.8165
124,49626.15,923.76117
125,47714.72,900.0948
126,49395.31,900.7031
128,50819.234,959.45355
154,45803.836,868.29004
155,47083.156,900.41394
159,43444.273,832.94403
161,47832.6,912.348
183,47213.79,878.7831
188,46950.82,894.9463
189,47173.82,876.40063
194,46979.914,898.9619
196,46902.42,893.9022
197,46527.957,880.871
200,46926.39,853.04944
201,46909.055,890.1888
229,45620.465,853.45087
240,48727.656,917.2693
241,50796.387,979.29224
244,45552.37,870.14655
246,46456.242,847.7806
249,43614.656,806.4931
256,52128.156,1031.4586
272,46839.94,870.5364
283,41479.44,726.92816
288,45718.92,862.647
297,47858.4,909.91345
300,51793.688,956.94653
317,45786.72,860.6333
320,46592.984,897.30554
324,47212.125,882.1172
331,47180.867,890.83905
336,45480.203,865.85767
419,55144.04,1052.0383
430,51884.293,1019.5952
443,49540.336,974.02997
484,47656.48,922.46497
642,48286.11,910.50226
657,50667.695,961.463
761,46832.895,889.6205
1118,50966.21,1001.9681
1151,50339.383,996.7047
1326,55669.016,1082.0563
1327,46178.52,861.08075
1654,41431.344,741.0976
4580,48152.19,912.10876
